School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
ADNA ELEMENTARY SCHOOL,2016-17,Y,33,87.9%,3%,3%,6.1%,0%,3%,0%,3%,93.9%,93.9%,90.9%,90.9%,90.9%,93.9%,29,1,1,2,0,1,0,1,2,2,3,3,3,2,PUBLIC SCHOOL,ADNA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,1,0,"P.O. BOX 28
ADNA
"
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ADNA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K-12,1,1,"P.O. BOX 148
ADNA
"
ALMIRA ELEMENTARY SCHOOL,2016-17,Y,13,76.9%,0%,0%,23.1%,0%,23.1%,0%,0%,84.6%,84.6%,84.6%,84.6%,76.9%,84.6%,10,0,0,3,0,3,0,0,2,2,2,2,3,2,PUBLIC SCHOOL,ALMIRA SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,1,1,"PO BOX 217
ALMIRA
"
ARCADIA ELEMENTARY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-5,0,0,"E. 1120 &quot;D&quot; STREET
DEER PARK
"
ARTZ FOX ELEMENTARY,2016-17,Y,60,95%,0%,3.3%,1.7%,1.7%,0%,0%,0%,96.7%,96.7%,98.3%,96.7%,100%,96.7%,57,0,2,1,1,0,0,0,2,2,1,2,0,2,PUBLIC SCHOOL,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,1,1,"P.O. BOX 40
MABTON
"
ASOTIN ELEMENTARY,2016-17,Y,47,93.6%,0%,0%,6.4%,6.4%,0%,0%,0%,97.9%,97.9%,95.7%,95.7%,97.9%,95.7%,44,0,0,3,3,0,0,0,1,1,2,2,1,2,PUBLIC SCHOOL,ASOTIN-ANATONE SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,1,1,"PO BOX 489
ASOTIN
"
YELM PRAIRIE ELEMENTARY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,"PO BOX 476
YELM
"
BATTLE GROUND HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,"PO BOX 200
BATTLE GROUND
"
BEACHWOOD ELEMENTARY SCHOOL,2016-17,Y,59,88.1%,1.7%,10.2%,0%,0%,0%,0%,0%,91.5%,91.5%,93.2%,91.5%,93.2%,91.5%,52,1,6,0,0,0,0,0,5,5,4,5,4,5,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"AMERICAN LK AVE &amp; CONCORD ST
LAKEWOOD
"
BELFAIR ELEMENTARY,2016-17,Y,68,86.8%,5.9%,7.4%,0%,0%,0%,0%,0%,89.7%,89.7%,92.6%,88.2%,95.6%,92.6%,59,4,5,0,0,0,0,0,7,7,5,8,3,5,PUBLIC SCHOOL,NORTH MASON SCHOOL DISTRICT,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,1,0,"NE 22900 HWY 3
BELFAIR
"
BIG LEAF MONTESSORI,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-K,1,0,"PO BOX 1911
CASTLE ROCK
"
BK ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,,,"14224 BEL RED RD (MAIL: 6236 122ND AVE SE BELLEVUE 98006-4445)
BELLEVUE
"
BLACK LAKE ELEMENTARY,2016-17,Y,75,85.3%,0%,4%,10.7%,2.7%,6.7%,1.3%,0%,89.3%,89.3%,88%,88%,92%,86.7%,64,0,3,8,2,5,1,0,8,8,9,9,6,10,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"6345 BELMORE-BLACK LAKE ROAD
OLYMPIA
"
BREWSTER ELEMENTARY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,1,1,"P.O. BOX 97
BREWSTER
"
BREWSTER HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,"P.O. BOX 97
BREWSTER
"
